pattern,n,mean_net_pct,median_net_pct,ci_lo,ci_hi,hit_rate,profit_factor,skew,p5_pct,p_value,fdr_significant,net_positive_ci
Doji,5026,0.5132671985683965,0.0423437137070856,0.316253617953194,0.716793956151082,0.5053720652606446,1.3205330528173937,1.795082644039993,-7.7510829641536,0.0003333333333333333,True,True
Ascending Triangle,764,1.9069270432909284,1.782346263826887,1.3007694840175053,2.5086307995371717,0.6295811518324608,1.8675499455581237,0.3104240435543176,-12.67402148498806,0.0003333333333333333,True,True
Three White Soldiers,156,0.6916407210710616,1.228370465572758,-0.0891755328125072,1.4786568875885733,0.7435897435897436,1.466548865850314,-0.9522594549112808,-8.981827807334842,0.035333333333333335,False,False
Bullish Marubozu,192,0.6111775818009781,0.7794300639596006,-0.10950089576152068,1.2965165322953291,0.703125,1.4225267752498312,-0.6993971384093512,-8.573440330620707,0.03866666666666667,False,False
Falling Wedge,639,0.2264285007826098,1.0522257799439902,-0.2080655539299563,0.6620399131606772,0.7433489827856025,1.1274999940487722,-1.4400785637807443,-11.389765165282704,0.169,False,False
Double Bottom,128,0.2553233436505328,0.7754515813329349,-0.6806337699157591,1.1866939228987734,0.6640625,1.1406885244122376,-0.7127293831882892,-10.670123045962734,0.2853333333333333,False,False
Bullish Engulfing,154,-0.013800268871054596,0.5221867335717396,-0.6599660284431137,0.584836476888281,0.7272727272727273,0.9889127602056503,-1.7812831409343561,-8.335803756686373,0.5326666666666666,False,False
Double Top,72,-0.06221891058948817,0.5606350376898257,-1.4565501399981102,1.312206607807428,0.6527777777777778,0.970659051839978,-0.46394534794430176,-11.77074667820441,0.551,False,False
Head & Shoulders,32,-0.36510874402093135,0.6129842947937405,-2.3394313586987296,1.779895371560498,0.65625,0.8220046978555824,0.0525196326268333,-10.316842517757822,0.6463333333333333,False,False
Three Black Crows,81,-0.4902114674396825,0.7617934127268423,-1.898716501103667,0.8432330831503949,0.6419753086419753,0.8140592636382202,-0.6712354636049922,-12.866829351522679,0.7543333333333333,False,False
Inverse Head & Shoulders,42,-0.8057538885721285,0.32042116777812263,-2.571121710943067,0.8533579334162464,0.5238095238095238,0.6907836264456868,-0.43012016644007084,-9.955800124262037,0.831,False,False
Morning Star,124,-0.390168851471176,0.447797432792694,-1.090985820275685,0.23739201642914992,0.6693548387096774,0.7193883360161369,-1.4367243014784663,-7.928970388557808,0.8856666666666667,False,False
Descending Triangle,422,-0.6336242414457526,-0.6557145625117589,-1.710789921693742,0.41332946747008814,0.4881516587677725,0.8464263807017754,0.686747306668473,-17.825303528514468,0.8886666666666667,False,False
Hanging Man,18,-0.4670419542509904,-0.28792764038177826,-1.2230420531225068,0.24529012709489748,0.5,0.49114919039168853,0.0633792973510801,-2.727892051602135,0.899,False,False
Piercing Line,6,-1.6406812587707966,-0.01626591472057983,-4.578080456841774,0.07420369539322863,0.3333333333333333,0.026980731944610925,-1.691713769857987,-6.889012901098919,0.9036666666666666,False,False
Hammer,90,-0.5945852830761464,0.4840351390832069,-1.4031966783816539,0.15901009645012343,0.7,0.6130389433105995,-1.532112931190105,-9.02778933363173,0.932,False,False
Bearish Marubozu,122,-1.5432319936350314,0.7443403185705938,-3.242254079889589,-0.12431482009617544,0.6229508196721312,0.5463387738601366,-2.802712988727018,-14.342183141693479,0.9663333333333334,False,False
Shooting Star,46,-1.2248639023340362,0.0399076018508686,-2.2059523290783827,-0.30472608237508836,0.5217391304347826,0.3357662863746797,-1.3875051210208753,-6.111197496627982,0.9893333333333333,False,False
Evening Star,109,-0.9400796080775798,0.17196760054714955,-1.7098629699480576,-0.23306582959385116,0.5871559633027523,0.492996467977115,-0.908015008677648,-7.511964005747229,0.992,False,False
Bearish Engulfing,164,-1.0773721513500156,0.2720226072852322,-1.7458988532095745,-0.43602422326425033,0.6097560975609756,0.4488812713814463,-1.7261931385446931,-9.49622752962017,0.999,False,False
Rising Wedge,519,-1.5179757019181639,0.3722358766249816,-2.048332473720292,-1.0210146969376628,0.5953757225433526,0.431656053504577,-2.1528382558401336,-14.241651228257675,1.0,False,False
